GO:0051480	19,252,329,404,
GO:0061025	19,173,
GO:0090174	19,40,1188,2217,4205,8897,
GO:0032435	19,85,178,412,1544,
GO:0042177	19,55,61,667,
GO:0060564	19,20,243,1078,1492,1602,3464,7339,
GO:0090231	19,611,702,735,3555,4835,
GO:0090232	19,661,684,1041,1824,1908,2883,9406,
GO:0090266	19,956,1004,2748,
GO:0090267	19,73,3840,4390,8063,9297,
GO:0001937	19,142,259,485,583,650,3514,4572,5905,
GO:0001510	19,297,2153,3659,
GO:0030488	19,44,2341,3052,3072,4229,4314,4559,6169,9644,
GO:0002097	19,77,101,592,643,801,1755,2325,4812,6564,6990,7284,
GO:0002098	19,626,3189,5319,
GO:0034227	19,238,1482,5979,7415,
GO:0006626	19,86,440,
GO:0042780	19,540,2331,6123,7628,10146,
GO:0070585	19,20,2785,3595,
GO:0072655	21,43,236,403,
GO:0032933	19,1332,
GO:0000281	19,191,213,1487,1876,2694,3121,4680,6788,
GO:0000375	69,140,325,
GO:0000377	19,21,49,
GO:0000398	19,
GO:0008380	19,59,
GO:0070184	19,55,125,317,742,1068,1680,3393,4602,4798,7345,7513,
GO:0006536	19,1420,2209,
GO:0035025	19,212,1673,5728,
GO:0046579	19,369,412,1448,2189,
GO:0051057	19,1577,2193,2390,5608,
GO:0001678	19,20,275,709,1169,1250,1785,1878,
GO:0009750	1549,2064,3011,7172,
GO:0033131	19,396,614,752,
GO:0033132	19,2390,
GO:0033133	19,1115,1602,1688,
GO:0046415	19,21,73,255,339,
GO:0006578	419,640,1853,3063,6549,
GO:0045329	182,1527,3384,5844,
GO:0051791	19,110,191,355,684,1102,5630,
GO:0051793	19,89,157,191,2742,2751,3217,3657,3846,4948,6059,7113,7330,8116,8531,
GO:0002792	19,1680,2356,3417,
GO:0002793	19,3103,
GO:0032024	19,39,86,968,2184,3847,
GO:0046676	21,77,421,1598,1677,3050,3482,
GO:0046887	19,
GO:0046888	19,251,257,394,3059,
GO:0090277	19,20,68,671,711,825,2008,2954,
GO:0090278	19,64,73,1676,1900,
GO:0032006	19,122,
GO:0000212	19,157,578,4111,4381,
GO:0045143	19,377,1017,6856,7548,
GO:0045875	19,328,656,5573,
GO:0010571	19,42,122,139,355,1761,4307,5603,6884,9421,
GO:0033262	19,1188,1593,5920,7182,7270,
GO:0070914	16,19,149,703,767,1080,4365,6979,
GO:2000105	19,122,1753,2474,4969,6295,9737,
GO:0001541	291,
GO:0022602	19,21,135,347,974,
GO:0042698	16,19,233,861,889,
GO:0031915	19,118,224,296,381,829,981,999,1188,2654,6319,
GO:0050803	19,283,531,
GO:0050807	19,266,400,602,
GO:0090128	19,55,107,
GO:0090129	19,245,708,821,5783,
GO:0000956	19,73,
GO:0002327	21,191,306,1099,
GO:0002329	19,303,760,1742,2429,7068,
GO:0002331	19,252,2514,4725,5535,
GO:0006401	19,
GO:0006402	21,620,3014,
GO:0042159	19,127,1165,1429,1998,2204,4085,
GO:0071044	19,1042,1784,
GO:0071480	19,1875,2203,2809,3962,6237,
GO:0016055	19,641,
GO:0016233	19,44,152,200,1352,1438,4189,6206,
GO:0031627	19,21,278,4603,9364,
GO:0031848	3485,
GO:0031860	159,193,1747,1809,3946,4961,5260,9705,
GO:0043247	19,49,255,297,313,2250,6208,8614,
GO:0000090	19,7567,
GO:0051322	21,86,152,328,1836,2303,2579,2618,3993,4536,
GO:0030516	19,185,191,327,710,
GO:0031346	19,107,253,266,
GO:0045773	1717,2720,
GO:0048639	19,
GO:0050772	19,230,355,1177,
GO:0050775	19,142,1778,2224,2424,3390,
GO:0000089	19,449,894,2444,3245,4733,5125,
GO:0000093	19,358,503,524,2913,3974,4744,4992,8025,9974,
GO:0051323	19,972,1612,
GO:0051326	19,49,85,173,280,325,6951,9835,
GO:0006269	73,264,271,945,2376,2818,5186,
GO:0006272	19,69,93,170,1749,1805,2603,2855,3953,7426,
GO:0006273	19,360,730,1955,3181,3309,4763,
GO:0045005	19,937,2025,2579,8616,
GO:0048478	19,20,54,124,2883,6205,7516,
GO:0030174	19,20,208,2498,4819,7202,
GO:0007519	19,200,3072,
GO:0035924	19,173,323,677,2514,
GO:0045646	19,125,315,
GO:0045648	19,73,3008,
GO:0048010	19,191,
GO:0009648	19,227,3522,5788,8237,9188,
GO:0009649	19,
GO:0042752	19,129,208,214,621,2259,
GO:0001832	300,4001,4184,
GO:0045665	19,312,902,4271,
GO:0010923	19,1226,2069,2879,7663,
GO:0032515	19,21,200,278,695,1231,1239,2105,2208,2989,
GO:0034047	19,62,364,426,2033,2574,3006,3277,4544,
GO:0034048	19,767,1733,4572,5633,
GO:0043666	17,19,387,
GO:0051004	19,61,149,214,266,503,638,5758,
GO:0060191	19,124,154,1165,
GO:0006334	19,39,1928,
GO:0031497	19,173,310,319,1212,
GO:0045739	19,303,1273,3087,
GO:0070316	19,183,3187,3294,3954,5729,7606,7891,8623,
GO:0070318	19,233,516,518,741,1906,2343,2348,5772,7614,
GO:0031146	19,20,178,280,2376,
GO:0016073	19,130,142,266,
GO:0016180	19,139,845,1787,2863,
GO:0006349	19,300,861,2263,
GO:0071514	19,709,1068,1866,
GO:0006244	130,313,915,1088,
GO:0006285	19,137,3838,
GO:0006304	19,167,173,640,
GO:0009219	19,768,3679,5706,
GO:0009223	19,79,709,1086,2108,2160,
GO:0009262	19,20,2493,3187,
GO:0009264	19,344,
GO:0009394	19,
GO:0045008	19,294,1681,1955,4054,
GO:0001547	19,139,140,334,1343,2303,2886,
GO:0031670	19,62,3208,
GO:0001836	19,20,126,1203,2389,
GO:0030216	19,109,257,563,
GO:0030855	19,110,162,263,
GO:0043616	19,512,3949,
GO:0030219	19,21,72,278,
GO:0030511	19,1467,
GO:0030858	302,314,1078,2780,
GO:0042551	19,21,73,359,1492,
GO:0007512	19,21,1410,2969,
GO:0021591	19,124,139,1471,1488,2932,3141,
GO:0031297	16,19,191,412,2933,4242,6303,6855,
GO:0045950	19,178,1068,1833,3482,6450,
GO:0046635	19,259,291,404,480,1183,
GO:0046640	19,866,1606,1902,
GO:0046641	19,68,118,2455,6671,
GO:0051782	19,43,157,363,545,6239,
GO:0032526	19,43,93,233,1716,2238,
GO:0007092	7,19,224,442,1071,6221,8146,10080,
GO:0030850	19,160,255,273,278,374,699,
GO:0031658	19,40,866,910,1240,2331,3508,6239,10010,
GO:0033032	19,20,255,632,
GO:0043542	19,231,252,
GO:0043647	19,447,1049,2238,2973,
GO:0046434	19,159,325,450,468,4199,6353,
GO:0046838	19,296,2789,
GO:0046839	19,112,139,546,557,647,3431,6474,
GO:0046855	19,44,326,1375,2195,4653,7139,
GO:0046856	19,622,664,1323,1770,
GO:0051893	16,19,49,921,1136,
GO:0051895	19,2114,6260,6904,
GO:0051898	19,112,126,178,443,2862,
GO:0060070	481,516,
GO:0060736	19,77,315,1565,3709,4829,
GO:0071545	19,56,98,173,263,530,1068,2292,2525,3875,7420,
GO:0090109	19,113,279,
GO:0090342	921,5830,6113,
GO:0090344	19,274,642,1137,1661,5339,
GO:2000060	19,608,1476,2338,3632,
GO:2000134	19,129,238,994,5781,6050,
GO:0007140	19,112,263,677,
GO:0007141	19,138,237,714,2238,3284,
GO:0007158	73,493,685,782,1429,5529,
GO:0007213	110,170,2737,4927,
GO:0007413	19,173,
GO:0008037	19,695,
GO:0008038	19,73,220,326,643,1527,2137,2203,
GO:0018107	19,
GO:0018210	19,49,248,7050,
GO:0021799	19,236,249,844,1607,1922,2492,5901,
GO:0032956	19,
GO:0032970	19,78,
GO:0048013	122,142,
GO:0060998	19,61,122,657,807,3112,
GO:0061001	19,24,178,3603,
GO:0060338	19,363,1014,
GO:0061101	19,56,1955,2645,
GO:0002831	19,94,251,782,1138,
GO:0050688	19,100,208,
GO:0001779	19,894,973,1959,4312,
GO:0002326	162,537,704,2993,3011,3126,
GO:0016573	19,266,278,2330,
GO:0018205	19,155,
GO:0018393	19,251,705,1061,
GO:0018394	19,1529,3616,
GO:0030101	19,492,1512,
GO:0033152	19,61,129,254,621,1056,1899,2803,8124,
GO:0043966	19,142,251,255,358,826,
GO:0043967	19,73,682,1265,
GO:0048537	19,77,2561,
GO:0048541	7,19,1865,4977,
GO:0000117	19,112,688,1761,2509,4854,5740,8818,10162,
GO:0051123	19,143,933,2897,3332,
GO:0060260	19,42,124,158,268,1189,5707,5906,
GO:0060261	19,235,2505,4328,9894,
GO:0070897	19,107,158,4983,6920,9537,
GO:2000142	19,719,742,6776,8427,
GO:2000144	19,49,110,173,2725,3626,6579,
GO:0032026	19,165,5316,
GO:0033327	19,142,717,2162,7650,
GO:0016525	19,73,129,430,3391,
GO:0051151	19,54,1265,
GO:0071930	19,49,146,212,309,325,549,709,2295,2632,4943,7262,9668,
GO:0007256	19,94,154,1337,
GO:0001894	19,56,1617,2177,
GO:0002040	19,55,897,
GO:0002042	19,118,138,3811,
GO:0007043	19,
GO:0007156	19,2622,
GO:0007160	19,124,710,
GO:0007229	19,140,1383,1617,
GO:0008277	19,355,
GO:0010811	1782,4417,4517,
GO:0010976	205,778,973,
GO:0031589	19,21,1001,
GO:0032594	16,19,2988,8832,
GO:0033627	19,56,73,306,3170,
GO:0033631	19,74,191,703,872,886,1634,6817,
GO:0034329	19,21,
GO:0034698	19,49,82,126,355,525,1212,
GO:0043297	226,234,329,910,
GO:0043534	19,55,193,880,1488,1955,2542,4563,
GO:0045214	19,152,3962,
GO:0070830	19,355,605,866,2529,5031,
GO:0071295	56,79,261,
GO:0071305	19,73,1365,1665,3427,
GO:0046928	16,19,104,466,692,7377,
GO:0048168	19,1761,
GO:0051588	19,331,1134,2252,4581,
GO:0001975	19,21,264,352,
GO:0048741	19,202,
GO:0048747	19,118,
GO:0051899	19,327,
GO:0060078	19,227,238,251,6287,
GO:0060079	19,655,2520,3909,
GO:0071322	19,200,1136,
GO:0071326	19,173,231,577,3374,
GO:0071331	291,3574,
GO:0071333	19,112,253,1131,1630,2636,
GO:0006544	19,124,186,191,646,2361,
GO:0006545	19,106,2302,6462,
GO:0009069	19,21,56,73,125,543,863,1018,2192,
GO:0009070	2974,4084,
GO:0031427	19,731,1405,3303,
GO:0046655	19,60,245,646,710,3661,4292,
GO:0002064	19,235,2225,
GO:0002065	19,1147,1686,2069,3297,
GO:0002066	19,234,2126,3050,
GO:0002069	19,193,2059,4385,
GO:0002070	19,118,130,141,190,380,942,2292,
GO:0006221	19,20,61,484,2720,
GO:0006231	129,2019,3489,7771,
GO:0009123	16,19,363,627,1430,
GO:0009124	19,49,193,1063,
GO:0009129	19,145,266,917,9369,
GO:0009130	19,1195,4816,
GO:0009157	19,24,209,264,266,1716,3185,3409,7072,
GO:0009162	19,200,370,574,865,1762,1930,2123,3026,7783,8916,
GO:0009176	19,73,
GO:0009177	19,249,679,
GO:0009221	911,4025,
GO:0009263	19,111,143,1346,5109,
GO:0009265	19,801,2846,
GO:0019087	19,118,1303,2193,3156,
GO:0019088	19,245,716,812,5518,5968,8123,8168,
GO:0020021	19,60,252,1313,1865,6485,
GO:0046073	19,142,178,618,626,1332,9003,
GO:0046078	19,55,79,1429,
GO:0060574	19,73,188,431,600,916,1327,2132,5823,7126,8360,10064,
GO:0060575	19,22,54,90,170,321,2933,3169,3433,3600,4509,6233,8039,
GO:0060576	480,1078,1524,5078,
GO:0000288	16,19,62,
GO:0000289	19,410,1762,
GO:0006406	19,355,561,1461,
GO:0031124	19,577,850,1629,
GO:0001553	19,115,584,672,
GO:0001704	6,16,19,277,641,
GO:0001707	19,249,355,
GO:0002762	19,21,241,553,1347,
GO:0007369	19,1591,
GO:0007498	19,
GO:0009914	19,915,1073,2701,
GO:0010817	19,
GO:0020027	19,72,142,258,367,814,1135,1704,1826,
GO:0032276	19,733,784,1149,1517,2365,3506,4932,
GO:0032277	19,716,1306,2522,
GO:0032278	124,206,1004,1633,1714,3876,4352,
GO:0032354	19,625,648,1603,2330,3316,
GO:0032925	19,898,
GO:0035929	19,21,261,1647,9924,
GO:0042476	19,197,1488,
GO:0042541	19,54,2269,3487,
GO:0042701	19,40,142,1115,1583,2297,2333,3012,4516,5503,
GO:0044060	191,742,1666,2098,2207,4507,
GO:0045072	19,480,
GO:0045077	19,56,302,2698,3570,
GO:0045577	19,251,1156,
GO:0045578	19,127,271,558,980,1127,9426,
GO:0045649	19,173,742,
GO:0045650	19,43,278,3198,4770,
GO:0046879	19,370,981,2504,
GO:0046880	19,3251,3386,4908,
GO:0046881	2545,7691,
GO:0046882	19,67,278,742,5087,
GO:0048332	19,278,371,
GO:0048333	158,159,658,1405,
GO:0050886	1783,1785,
GO:0060021	19,1213,1826,
GO:0060278	19,2217,3448,9808,
GO:0060279	19,741,1695,1712,5102,8620,
GO:0060986	19,29,3031,5483,6266,
GO:0061029	19,21,56,883,1434,2226,7333,
GO:0071371	19,91,1043,
GO:0071372	21,197,531,1949,
GO:0071397	208,742,953,1873,
GO:0006287	142,201,515,695,2572,4600,
GO:0006301	19,387,4427,
GO:0019985	19,60,880,973,1906,2514,
GO:0032069	19,24,155,193,400,1684,
GO:0032070	8,19,21,118,156,793,794,968,2543,2727,
GO:0032075	19,79,845,1331,6635,7456,
GO:0032077	19,191,277,387,2593,2690,3216,
GO:0000184	19,709,2203,
GO:0007616	19,74,126,142,168,253,303,2499,
GO:0014732	19,94,401,462,879,1724,2623,5436,7326,
GO:0014874	19,1393,1701,
GO:0014878	19,173,1578,2209,2391,3622,5263,5588,5729,9416,9964,
GO:0014888	19,77,126,676,850,1501,
GO:0014889	19,514,1115,1233,2217,2312,2555,3402,
GO:0014891	16,19,54,109,118,400,514,7847,
GO:0014910	2911,
GO:0014911	19,55,676,689,2211,4287,
GO:0033574	19,
GO:0043500	19,20,918,992,1166,6231,
GO:0043501	19,242,398,1269,6953,
GO:0043502	19,
GO:0045844	19,1808,2970,4933,4950,
GO:0046626	19,141,1072,2132,2192,2717,
GO:0046627	19,127,675,2081,3910,
GO:0048631	19,106,301,308,400,942,2325,4310,5624,
GO:0048633	19,943,1658,2915,5194,10150,
GO:0048636	24,263,362,438,1151,1713,
GO:0048643	19,94,124,140,973,1429,2295,2555,2736,3275,4401,
GO:0009132	19,242,
GO:0009186	19,250,641,
GO:0015949	19,86,793,
GO:0032927	19,151,253,319,1169,1409,1700,2136,3802,7746,7756,
GO:0007405	19,73,137,270,577,939,2702,
GO:0014013	19,118,467,
GO:0014014	19,200,1019,2535,
GO:0021761	19,20,255,636,1282,
GO:0021766	19,125,533,710,5559,
GO:0045667	19,
GO:0045669	7,72,96,237,708,871,2297,3357,4023,
GO:0045685	19,94,124,457,717,1275,
GO:0045686	19,775,1985,
GO:0048710	19,355,
GO:0048712	19,141,178,830,3585,4353,
GO:0048713	19,73,236,
GO:0048715	19,762,2022,
GO:0061351	19,191,642,1324,2053,
GO:0043949	19,73,3512,
GO:0043951	7,19,56,603,998,4494,4924,
GO:0009082	30,721,1850,5921,9522,
GO:0033522	7,19,55,188,710,1162,2195,
GO:0035518	19,634,5353,
GO:0001569	19,21,73,577,1692,
GO:0001667	19,1171,
GO:0001702	19,173,1687,5536,
GO:0001755	19,62,
GO:0014031	19,140,213,253,363,
GO:0014032	19,266,309,
GO:0014033	19,1044,1074,
GO:0032926	19,188,1085,1143,
GO:0048762	19,56,318,
GO:0051145	19,112,642,6002,
GO:0060037	19,139,215,361,705,980,1264,1300,
GO:0060485	55,224,294,355,1487,
GO:0090101	19,1011,
GO:0008634	19,109,119,278,706,2200,5495,
GO:0033143	5,19,363,1146,
GO:0033145	231,387,391,585,
GO:0033146	19,150,544,1697,
GO:0033148	19,255,1953,3566,4211,
GO:0017148	19,171,193,1043,
GO:0031333	19,621,1979,
GO:0045947	19,21,455,662,815,2418,4369,
GO:0008360	19,1165,1615,2295,
GO:0016601	19,358,1618,3915,
GO:0035871	19,1131,1140,1714,2882,4621,8980,
GO:0071108	19,234,1195,1541,1693,1789,5474,
GO:0001578	318,330,499,
GO:0010894	19,73,142,
GO:0010956	19,68,1242,1352,1429,2475,4605,6144,6520,6852,8599,
GO:0010957	124,253,310,656,858,1343,4507,
GO:0045939	19,180,2205,2208,5913,
GO:0046137	19,72,640,741,1508,2393,5727,
GO:0007631	19,
GO:0021515	19,2037,
GO:0021517	19,
GO:0021522	19,984,1753,
GO:0048873	19,285,797,1000,2494,
GO:0033567	5,19,124,200,355,7041,
GO:0043137	19,828,3347,4331,5749,9492,
GO:0045004	19,329,529,568,618,4490,
GO:0006264	19,56,170,1215,2688,
GO:0043504	19,20,55,168,372,577,692,871,1323,2625,6559,6781,7307,8019,9388,
GO:0006369	19,98,122,248,355,646,
GO:0006398	193,266,386,929,1468,2913,5957,
GO:0001833	19,191,266,3638,5010,
GO:0001967	19,193,378,536,1100,1724,1916,3748,
GO:0006378	19,127,224,1511,
GO:0006878	7,19,124,1221,3278,6906,8131,
GO:0007416	19,734,
GO:0007528	19,130,1077,
GO:0007617	19,387,4061,
GO:0007618	19,160,191,328,741,1258,1664,2597,2810,
GO:0007632	19,1382,2192,3823,4374,
GO:0008088	19,308,2695,
GO:0008542	1081,2238,3896,
GO:0016198	19,266,327,517,1136,2337,6068,6557,
GO:0016199	19,258,291,1087,2932,5639,6238,
GO:0016322	19,2295,6558,7687,
GO:0019098	19,21,56,73,3371,3940,3963,
GO:0043631	278,311,1213,1745,2065,2625,4466,
GO:0048668	19,94,1405,8098,
GO:0048669	21,88,94,355,2467,2482,8602,
GO:0050808	19,618,
GO:0051124	19,403,438,2634,3899,6207,
GO:0051705	7,19,73,2731,
GO:0055070	19,564,613,1362,1688,4162,5330,
GO:0034508	355,363,930,
GO:0051382	19,55,234,468,479,1184,
GO:0051383	19,127,311,1591,5062,
GO:0010824	19,
GO:0046599	19,453,2781,3638,5944,7363,
GO:0046601	19,1576,2439,3372,4038,4306,9267,
GO:0046605	19,363,485,5132,6577,
GO:0046607	19,20,1544,1778,4239,6254,6695,7087,7944,
GO:0060707	9,19,117,262,334,1299,8385,
GO:0030031	19,49,55,191,249,
GO:0030916	19,142,479,661,4270,
GO:0042384	19,38,
GO:0042471	19,1697,
GO:0042472	19,278,1210,
GO:0048793	19,2508,4911,
GO:0060271	19,234,953,1569,2035,
GO:0071599	19,562,3138,
GO:0071600	19,3170,
GO:0031503	19,358,735,1489,3126,3603,
GO:0007099	19,20,193,773,955,5364,
GO:0051298	19,193,331,1067,1905,2001,5303,
GO:0003341	19,28,5244,
GO:0003351	19,56,815,6784,8343,
GO:0035082	19,127,233,234,677,731,2007,
GO:0035083	19,73,142,360,643,984,2781,3991,8859,9804,
GO:0060287	19,158,271,2264,
GO:0030111	19,355,
GO:0060828	19,193,539,
GO:0008064	19,142,253,1242,1629,2506,
GO:0009755	183,985,3179,5449,
GO:0030178	19,60,
GO:0030832	19,21,50,232,247,302,
GO:0030833	19,124,237,
GO:0035329	19,251,521,614,2020,3011,
GO:0090090	19,73,380,1488,
GO:0006458	19,249,1225,1532,
GO:0051084	19,703,1591,
GO:0001906	19,152,
GO:0001909	19,325,718,
GO:0002228	19,750,919,5542,7033,
GO:0042267	19,20,1645,3951,6773,7332,
GO:0007008	19,349,1914,4376,5716,
GO:0042026	19,112,118,3294,
GO:0045040	19,245,419,676,
GO:0072089	19,1669,9925,
GO:0006833	19,200,577,894,981,2775,4236,
GO:0007202	19,43,55,899,
GO:0010517	19,
GO:0010518	19,322,2625,
GO:0010863	56,130,329,638,1184,
GO:0034199	19,266,363,5957,
GO:0042044	19,77,156,1978,
GO:0043457	19,248,1874,4707,
GO:0046827	178,3129,4243,5546,6117,
GO:0051445	7,19,120,127,151,176,219,621,964,2482,
GO:0051447	3,19,74,360,416,763,2738,9743,
GO:0060193	19,233,355,
GO:0071107	19,118,183,212,1019,1536,
GO:0071374	19,56,982,
GO:0000188	19,85,173,514,1485,1498,
GO:0042516	19,1165,1389,2293,
GO:0042518	19,421,2846,5393,5936,6608,7354,
GO:0043407	19,21,73,392,735,
GO:0070262	19,55,358,640,2333,2534,2616,7898,
GO:0007143	19,110,266,1866,6361,
GO:0007144	19,64,106,151,970,1402,1794,2645,4599,
GO:0001675	19,46,110,487,3671,3723,3956,
GO:0006576	19,56,2463,
GO:0006998	19,54,775,1717,
GO:0007097	19,191,
GO:0008090	19,154,669,1824,3960,8183,
GO:0010977	184,
GO:0021540	19,78,94,238,958,1082,5055,6237,10011,
GO:0021801	19,86,939,3383,6460,
GO:0021819	19,2252,3825,6666,
GO:0021952	5,19,233,387,514,4008,
GO:0021954	19,118,129,
GO:0021955	19,325,
GO:0022038	19,20,2003,4563,
GO:0022412	19,636,1101,1271,3284,
GO:0030397	19,302,483,564,778,5101,
GO:0040023	19,93,810,3101,3347,5991,6290,
GO:0042439	19,62,206,335,966,
GO:0046469	19,684,1063,3485,4032,
GO:0047496	19,21,626,2806,3032,3596,6317,
GO:0051081	19,2381,5243,8689,
GO:0051642	19,160,594,1021,1097,
GO:0051647	19,235,1437,
GO:0051660	19,271,3886,5725,6881,7130,
GO:0030842	7,19,191,325,602,3259,3575,5812,5946,
GO:0030844	19,74,1302,1409,1706,3223,5637,8564,
GO:0045108	19,266,509,1423,2606,8706,9873,
GO:2000179	19,329,640,788,1489,6228,
GO:0030177	19,119,702,965,
GO:0032922	19,140,251,3936,5337,5379,
GO:0090263	19,779,6118,
GO:0015682	19,20,300,306,321,
GO:0033572	19,173,869,
GO:0000088	19,302,1592,4182,
GO:0033206	19,69,231,1180,3548,4826,6318,
GO:0040038	19,213,527,1582,2631,3194,9529,9550,
GO:0071168	19,24,40,44,112,124,370,3527,4834,
GO:0001301	19,49,1515,6009,
GO:0001304	19,129,981,1610,2168,2261,3831,4991,7565,
GO:0001309	19,249,4365,5836,6296,7974,
GO:0032210	19,1320,1336,2529,4222,
GO:0032211	19,392,1068,2295,
GO:0032213	19,193,1663,3432,4503,5318,5426,
GO:0032214	19,191,355,2150,4932,7640,
GO:0051972	19,486,1085,1227,
GO:0051974	19,74,128,2507,3116,
GO:0035305	19,152,9071,
GO:0035308	19,249,
GO:0032239	16,19,699,716,
GO:0046831	19,24,2647,3481,
GO:0010457	19,4914,
GO:0007020	19,73,142,1615,1715,2041,3157,3846,
GO:0046600	19,56,1060,1136,3567,8158,
GO:0046606	56,62,122,127,163,869,1941,6260,6531,7860,7893,
GO:0030997	130,347,676,2673,3174,5494,6891,
GO:0030510	19,284,438,1188,3482,
GO:0030513	19,78,3433,
GO:0043954	19,20,856,2802,
GO:0045494	19,184,238,514,648,1934,3531,
GO:0050957	329,2585,4401,
GO:0007129	19,118,270,1463,
GO:0070192	19,282,2855,3566,
GO:0032015	19,118,183,361,6531,7534,9682,9834,
GO:0032316	19,767,1243,3706,
GO:0032320	8,19,38,122,514,
GO:0032853	19,702,2623,
GO:0043547	19,22,2238,
GO:0006336	19,149,200,211,514,5553,
GO:0031055	19,142,3280,
GO:0034080	19,358,409,697,
GO:0034724	19,49,213,1855,6119,
GO:0016925	19,107,224,248,331,2680,
GO:0006900	19,107,253,1591,3087,
GO:0006901	19,429,499,3469,
GO:0016050	19,49,943,
GO:0048199	19,124,136,335,485,648,1407,
GO:0048207	19,252,1547,2322,
GO:0048208	6,19,55,240,549,3200,
GO:0090114	19,643,2001,3919,4016,4448,
GO:0007079	18,970,1954,2207,2417,8472,
GO:0051305	19,49,270,3181,
GO:0051177	19,9491,
GO:0051754	19,94,116,169,531,716,7817,9179,
GO:0070601	216,2781,3249,3857,4666,9359,9755,
GO:0032872	19,173,271,331,894,1142,1193,1352,2477,
GO:0032874	19,110,307,1103,1232,2375,3362,4188,
GO:0007019	14,51,56,73,109,251,1033,1131,1171,3428,8761,9108,
GO:0031109	19,885,1408,1755,4239,
GO:0051261	55,193,311,2195,
GO:0042699	19,112,130,279,3217,4079,6269,6848,
GO:0051315	19,55,2790,9572,9793,
GO:0030951	19,56,137,310,1147,2690,3349,6840,
GO:0030952	19,708,7546,
GO:0030032	19,
GO:0048246	19,
GO:0032321	19,671,3311,
GO:0032489	19,73,233,309,329,1084,1677,
GO:0032856	19,127,320,636,3012,
GO:0032862	19,20,49,54,55,130,494,650,
GO:0032864	19,94,127,1037,2022,2118,2534,3404,4118,6466,8100,
GO:0043088	19,21,50,56,261,1609,
GO:0043089	19,56,863,2878,2962,3228,3266,
GO:0045103	16,19,118,480,1229,3760,
GO:0045104	19,20,610,
GO:0048679	19,1097,1194,5506,
GO:0048680	19,20,144,529,605,1519,4429,5534,
GO:0060052	19,193,484,508,1178,1304,2640,
GO:0070570	19,21,49,879,1508,
GO:0070572	19,94,650,3094,6183,
GO:0001976	19,60,178,482,869,1174,
GO:0001990	19,371,435,1068,1884,
GO:0002016	19,308,358,468,844,871,2009,2841,4200,
GO:0002035	21,300,302,468,1400,6414,
GO:0003044	19,142,156,604,897,1536,4826,
GO:0003073	19,483,
GO:0003081	720,1559,
GO:0008217	19,257,434,820,982,
GO:0010657	19,267,371,9245,
GO:0010658	19,347,742,4135,
GO:0010659	19,79,4562,8036,
GO:0070613	7,19,68,245,1979,
GO:0015805	271,306,1286,1503,1563,6127,
GO:0015858	19,3555,6628,7571,
GO:0015860	19,21,120,568,4677,7285,
GO:0051181	19,278,1073,2052,
GO:0051182	19,1528,2231,3007,
GO:0072337	19,200,1508,1826,
GO:0072348	19,20,232,655,963,
GO:0000096	64,106,325,396,1025,2957,3237,
GO:0006790	19,127,253,355,1881,
GO:0007204	19,717,
GO:0007214	21,265,897,1307,2301,5541,
GO:0007270	124,
GO:0007274	19,189,1909,
GO:0007628	21,1979,5839,
GO:0014051	19,982,4596,
GO:0014056	19,1991,2149,2692,7424,7677,
GO:0015812	19,45,245,5430,
GO:0017157	19,21,191,
GO:0017158	7,19,1227,3780,
GO:0021548	19,21,277,299,325,1962,2370,7435,
GO:0021578	178,731,1764,3160,3574,6634,6668,
GO:0021590	19,360,646,4186,6124,6182,7025,
GO:0021626	19,297,763,1265,1954,6623,
GO:0021679	261,974,1075,1131,1182,4681,7191,
GO:0021692	19,79,821,1151,2046,
GO:0021694	19,127,240,281,486,505,822,962,5590,7644,
GO:0021702	19,77,204,207,253,784,
GO:0021750	19,20,78,122,138,1184,2246,4325,5488,6132,7971,9959,
GO:0030002	19,56,61,499,1475,2217,2352,
GO:0030320	19,823,1695,2022,6644,
GO:0030644	19,224,411,1491,2396,3417,6797,10047,
GO:0032350	16,19,654,
GO:0032351	19,100,268,885,1658,2692,4892,
GO:0032353	19,131,803,1482,2303,3547,4124,6114,
GO:0033555	19,84,213,377,649,
GO:0035249	19,157,2666,
GO:0042445	19,140,
GO:0043113	19,1020,1140,
GO:0046885	19,1497,1527,2911,
GO:0048265	19,278,
GO:0048266	19,716,1599,1621,5914,5944,
GO:0048791	53,56,176,3370,
GO:0048857	19,363,387,893,1557,
GO:0050883	19,1669,2643,2787,3637,5066,6411,
GO:0055064	19,56,126,654,1193,
GO:0055083	19,370,866,1555,2306,5898,
GO:0060004	19,266,355,401,570,973,1821,
GO:0060024	19,446,505,1477,1707,6892,
GO:0072657	19,
GO:0006534	19,127,420,1767,2029,2637,3114,4185,
GO:0006777	19,1934,5956,
GO:0016226	19,438,3934,4685,5647,
GO:0018282	27,716,1998,2356,6232,8750,
GO:0018283	19,61,252,306,313,514,594,2844,2939,5513,6415,
GO:0019438	1090,3465,
GO:0019720	19,44,1305,1385,3047,
GO:0031163	70,266,529,615,1161,4895,7727,
GO:0032324	19,126,370,1397,2759,6911,
GO:0042559	19,298,300,2350,3370,
GO:0043545	19,159,196,252,1796,6433,
GO:0051189	19,178,558,773,1213,1804,1873,
GO:0000103	19,1926,2349,5036,5404,
GO:0033865	19,56,128,2396,
GO:0033875	16,19,202,850,1078,
GO:0034032	19,266,1404,
GO:0034035	214,443,673,1147,1530,1888,2952,4026,
GO:0050427	19,736,958,3304,
